contMencion,contPalabrasConArrDentro,contCaracterEspecial,contSignosPuntucion,contCaracMayusculas,contLetrasRepetidas,contParentesis,contEmojis,contOnomatopeyas,contInterjecciones,contInterpelaciones,contDiminutivos,contAumentativos,contPeroyativos,contSuperlativos,conDeterminantes,contIndeterminados,contDemostrativos,contPronombres1eraPersona,contPronombres2onaPersona,contVerbosSerEstarParecer,contVerbosEnPrimeraPersona,contVerbosEnSegundaPersona,contVerbosIndicativos,contVerbosSubjuntivos,contVerbosPresente,contVerbosImperativo,contVerbosPreterito,contVerbosFuturo,contVerbosCondicional,contVerbosParticipio,contVerbosGerundio,contAdverbiosCantidad,contAdverbiosNegacion,contAdverbiosDuda,contAdjetivosCantidad,insultos,likes,retweets,diaSetmana,hora,seguidors,seguits,violento,KMeans_Clusters
1,0,5,8,4.412,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2,3,2,1,1,0,0,1,0,0,0,0,0,1,0,0,66795,241,527,0,3
1,0,3,7,7.746,4,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,3,0,58533,1707,1895,0,3
0,0,2,4,4.969,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,2,36045,2115,4997,0,4
1,0,0,6,3.788,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,5,2,5,2,5,2,4,0,0,0,1,1,1,0,1,0,0,0,2,47264,1763,1284,0,3
1,0,0,7,2.155,2,0,0,1,3,6,2,0,0,0,1,0,0,0,0,4,4,5,9,7,9,4,5,0,0,1,1,0,2,0,0,2,1,0,6,51417,2406,2933,0,0
3,0,0,9,5.366,3,0,0,0,1,1,0,0,0,0,6,0,0,0,0,1,4,4,6,6,6,7,4,0,1,0,0,0,1,0,0,4,0,0,1,49168,4,258,0,0
1,0,0,8,2.907,3,0,0,0,2,1,0,1,0,0,2,0,0,0,0,2,2,2,2,3,2,2,0,0,0,0,0,0,1,0,0,4,0,0,3,71886,28,259,1,2
0,0,0,0,2.469,0,0,0,1,2,1,1,1,0,0,3,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,71555,28,259,0,2
1,0,0,2,10.294,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,6,80583,1515,2538,0,2
4,0,0,12,11.243,4,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,74616,4,258,0,2
2,0,3,10,10.314,3,0,0,0,5,3,0,0,0,0,2,0,1,0,0,2,6,4,7,5,7,5,5,1,0,0,1,0,0,0,0,2,6,1,6,65117,6376,6480,0,0
0,0,0,4,3.922,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,41755,6376,6480,0,1
4,0,3,15,7.471,5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,3,4,4,4,3,1,0,0,0,0,0,0,0,0,4,0,3,6,37557,4,258,0,2
0,0,0,0,9.272,3,0,0,1,2,2,1,1,0,0,3,1,0,0,0,0,3,2,4,2,3,2,3,0,0,0,0,0,1,0,0,2,0,0,3,69200,14050,8267,0,2
0,0,0,4,8.095,2,0,0,0,3,3,0,1,0,0,3,0,0,0,0,0,3,2,5,4,5,4,4,0,0,0,0,0,2,0,0,2,3,1,2,74880,14050,8267,0,3
0,0,0,0,5.581,3,0,0,0,5,6,0,0,0,0,4,3,0,0,0,1,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,3,1,1,6,54448,14050,8267,1,2
1,0,0,4,7.383,2,0,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,74435,597,93,1,2
4,0,1,13,4.779,1,0,0,1,3,3,2,2,0,0,5,0,0,0,0,1,2,2,3,2,3,1,1,0,0,0,0,0,0,0,0,4,0,0,3,85741,158,162,0,2
2,1,5,13,4.813,6,1,0,2,2,2,1,0,0,0,2,0,0,0,0,0,3,3,5,5,5,5,1,1,0,0,0,0,1,0,0,0,1,0,3,81912,3439,3066,1,2
1,0,7,13,12.568,7,0,0,1,1,2,0,0,1,0,2,0,0,0,0,0,2,1,2,1,2,1,2,0,0,0,1,0,0,0,0,0,1,2,6,86003,3439,3066,0,2
1,0,0,8,4.783,4,0,0,0,3,3,0,0,0,0,4,0,0,0,0,1,3,1,5,4,5,4,3,1,0,0,0,0,2,0,0,1,35,10,6,76085,2337,4135,0,2
0,0,0,3,1.829,0,0,0,1,2,3,0,0,0,1,3,2,0,0,0,3,1,2,4,4,5,3,1,1,0,0,0,0,1,0,0,3,49,8,6,51387,11638,998,1,2
0,0,0,7,11.798,1,0,0,2,5,3,0,0,0,0,6,1,0,0,0,0,5,1,5,1,5,1,5,0,0,0,0,0,0,0,0,1,1,0,0,65351,767,828,0,3
4,0,0,12,5.224,0,0,0,4,4,5,0,0,1,0,3,1,0,0,0,3,7,7,11,9,11,7,6,1,0,2,0,1,0,0,0,1,0,0,5,67144,45,216,0,0
1,0,0,6,28.287,1,0,0,1,1,3,1,1,0,2,6,0,0,0,0,1,2,2,5,3,3,2,2,0,0,0,0,0,0,0,0,3,1,0,5,50938,1847,3636,0,2
0,0,0,2,4.0,3,0,0,3,4,5,0,0,0,0,2,1,0,0,0,0,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,2,0,0,4,28236,0,0,0,0
2,1,0,4,6.061,2,0,0,2,3,4,0,0,0,0,1,0,0,1,0,0,1,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,3,40512,159,298,0,2
2,0,5,12,4.464,5,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,1,0,3,2,3,2,2,0,0,1,0,0,0,0,0,6,0,0,0,85540,1197,4766,0,3
0,0,3,10,4.297,5,0,0,0,4,2,1,0,0,0,7,0,0,0,0,1,0,0,5,5,5,5,1,2,1,0,0,1,2,0,0,2,652,294,0,44933,55741,9205,0,3
0,0,17,24,9.962,5,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,82809,15237,348,0,2
0,0,21,32,10.526,7,1,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,81010,15237,348,0,2
